,gender,VCF0113,VCF0146,VCF0311,VCF0361,VCF0380,VCF0740,VCF9031,VCF0204_dk,VCF0206,VCF0211,VCF0212,VCF0220_dk,VCF0223_dk,VCF0224_dk,VCF0231_dk,VCF0233_dk,VCF0413,VCF0425_dk,VCF0426_dk,VCF0428_dk,VCF0471_dk,VCF0906_dk,VCF0907_dk,VCF9056_dk,VCF9057_dk,VCF0801,VCF0723,VCF0806_dk,VCF0886_dk,VCF9048_dk,VCF0853_dk,VCF9015_dk,VCF9017_dk,VCF9040_dk,VCF9041_dk,VCF9042_dk,VCF0451_dk,VCF0838_dk,VCF0870_dk,VCF0871_dk,VCF0872_dk,VCF0881_dk,VCF0105a_oh0,VCF0105a_oh2,VCF0105a_oh4,VCF0107_oh3,VCF0116_oh3,VCF0147_oh4,VCF0713_oh1,VCF0713_oh2,VCF0713_oh3,VCF0713_oh4,VCF0714_oh1,VCF9030_oh5,VCF9132_oh0,VCF9132_oh3,VCF9133_oh3,VCF0206_int,VCF0413_int,VCF0604_int
1452,1,0,1.0,1.0,,0.0,0.0,0.0,False,,50.0,60.0,True,False,False,False,False,85.0,False,False,False,False,True,True,False,True,50.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1225.0,0.5
1453,1,0,1.0,1.0,0.0,,0.0,0.0,False,70.0,,,False,False,True,False,False,30.0,False,False,False,False,True,True,False,False,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,400.0,0.5
1454,1,1,1.0,1.0,0.0,1.0,1.0,1.0,False,70.0,-0.0,95.0,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,95.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2500.0,0.5
1455,0,0,1.0,1.0,0.0,0.0,0.0,0.0,False,50.0,70.0,30.0,False,False,False,False,False,85.0,False,False,False,False,False,False,False,False,25.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,0.5
1456,0,0,1.0,0.0,0.0,1.0,0.0,0.0,False,50.0,40.0,30.0,False,False,False,False,False,55.0,True,False,False,False,True,False,False,False,40.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5
1457,0,1,0.0,0.0,0.0,1.0,0.0,0.0,False,50.0,50.0,50.0,False,False,False,False,False,55.0,False,False,False,False,True,True,False,False,45.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.5
1458,0,0,0.0,1.0,1.0,1.0,0.0,0.0,False,80.0,80.0,30.0,False,False,False,False,False,90.0,False,False,False,False,False,False,False,False,20.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1600.0,0.5
1459,0,1,0.0,1.0,1.0,0.0,0.0,0.0,False,95.0,85.0,85.0,False,False,False,False,False,50.0,True,False,False,False,False,False,False,False,45.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025.0,0.0,0.5
1460,0,0,1.0,1.0,1.0,1.0,0.0,1.0,False,50.0,50.0,50.0,False,False,False,False,False,20.0,False,False,False,False,False,False,False,False,45.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,900.0,0.5
1461,1,0,1.0,1.0,0.0,1.0,0.0,0.0,False,70.0,40.0,60.0,False,False,False,False,False,20.0,False,False,False,False,False,False,False,False,55.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,900.0,0.5
1462,1,0,0.0,1.0,0.0,0.0,0.0,0.0,False,85.0,50.0,50.0,False,False,False,False,False,30.0,False,False,False,False,False,False,False,False,45.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1225.0,400.0,1.5
1463,1,0,1.0,1.0,1.0,1.0,0.0,0.0,False,70.0,60.0,70.0,False,False,False,False,False,15.0,False,False,False,False,True,False,False,False,50.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1225.0,0.5
1464,0,0,1.0,1.0,0.0,1.0,0.0,0.0,False,85.0,85.0,60.0,False,False,False,False,False,55.0,False,False,False,False,False,False,False,False,35.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,25.0,0.5
1465,1,1,1.0,1.0,1.0,0.0,0.0,0.0,False,70.0,70.0,15.0,False,False,False,False,False,90.0,False,False,False,False,False,False,False,False,20.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1600.0,0.5
1466,0,0,1.0,1.0,1.0,1.0,0.0,0.0,False,70.0,70.0,40.0,False,False,False,False,False,75.0,False,False,False,False,True,False,False,False,30.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,625.0,0.5
1467,0,0,1.0,1.0,1.0,1.0,1.0,0.0,False,70.0,70.0,-0.0,False,False,False,False,False,90.0,False,False,False,False,False,False,False,False,10.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,1600.0,0.5
1468,1,0,1.0,1.0,0.0,1.0,0.0,0.0,False,70.0,30.0,85.0,False,False,False,False,False,30.0,False,False,False,False,True,False,False,False,75.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0.5
1469,1,0,1.0,1.0,0.0,,0.0,0.0,False,85.0,50.0,60.0,False,False,False,False,False,25.0,True,False,False,False,True,True,False,True,50.0,2.0,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1225.0,625.0,0.5
1470,1,0,1.0,1.0,0.0,0.0,0.0,0.0,False,85.0,50.0,50.0,False,False,False,False,False,20.0,False,False,False,False,False,False,False,False,45.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,900.0,0.5
1471,0,0,1.0,1.0,0.0,1.0,0.0,0.0,False,60.0,40.0,70.0,False,False,False,False,False,25.0,False,False,False,False,True,False,False,False,60.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,625.0,0.5
1472,1,0,1.0,1.0,0.0,1.0,0.0,1.0,False,60.0,50.0,60.0,False,False,False,False,False,30.0,False,False,False,False,False,False,True,False,50.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,400.0,0.5
1473,1,1,1.0,1.0,1.0,0.0,0.0,0.0,False,50.0,60.0,85.0,False,False,False,False,False,60.0,False,False,False,False,False,False,False,False,60.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.5
